Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,TimeSunSet_first
27,12,8,51.166666666666664,48,54,2.1672493389016654,30.46166666666667,30.46,30.47,0.003892494720805511,24.666666666666668,21,29,2.933608802492353,149.04083333333332,85.89,191.03,34.51771915416864,8.998333333333333,4.5,14.62,3.3219321686833605,326.5308333333333,656.0,6.933333333333334,17.866666666666667
5,10,15,54.90909090909091,54,55,0.30151134457776474,30.432727272727274,30.43,30.44,0.004670993664969339,101.45454545454545,101,102,0.5222329678670921,32.56272727272727,2.76,62.67,16.81192439366124,3.27,1.12,5.62,1.2779671357276758,178.66454545454545,714.0,6.233333333333333,18.133333333333333
22,12,8,52.333333333333336,50,54,1.1547005383792517,30.445833333333336,30.44,30.45,0.005149286505443146,42.0,26,73,16.464838568625844,108.35833333333333,25.5,190.56,50.535083552884025,6.279166666666666,2.25,11.25,2.324460673842951,340.47083333333336,656.0,6.883333333333333,17.816666666666666
19,10,9,55.916666666666664,54,58,1.5050420310248862,30.47583333333333,30.47,30.48,0.005149286505443844,95.58333333333333,90,99,3.5791906991114746,88.9425,14.08,139.21,40.1012244485468,5.809166666666667,2.25,9.0,2.025085669717943,563.265,697.0,6.316666666666666,17.933333333333334
4,12,10,45.0,45,45,0.0,30.399166666666662,30.39,30.4,0.0028867513459487587,93.0,93,93,0.0,116.76416666666667,60.52,182.24,44.70852134728463,4.121666666666667,0.0,12.37,4.050169094861312,76.4575,660.0,6.716666666666667,17.716666666666665
28,9,11,64.0,64,64,0.0,30.411666666666665,30.4,30.42,0.0071774056256517765,51.25,50,53,0.8660254037844366,86.42166666666667,14.61,359.92,127.01099049318766,8.339166666666666,4.5,12.37,2.855863054818768,1002.3308333333333,721.0,6.216666666666667,18.233333333333334
30,10,11,51.583333333333336,50,54,1.2401124093721474,30.465,30.45,30.47,0.006741998624633104,97.33333333333333,88,102,3.8924947208076155,101.835,27.16,181.89,57.199418385472796,7.8725,4.5,13.5,3.145614913147854,689.8341666666666,686.0,6.383333333333334,17.816666666666666
23,9,15,58.5,57,61,1.5075567228888176,30.410833333333333,30.41,30.42,0.002886751345949598,91.58333333333333,80,98,6.815201368776263,87.37333333333333,25.39,359.83,91.3921382468609,5.996666666666666,2.25,13.5,3.3691119232692683,98.50916666666666,726.0,6.2,18.3
4,9,16,54.75,54,55,0.4522670168666463,30.438333333333333,30.43,30.44,0.0038924947208077002,101.0,101,101,0.0,67.23333333333333,17.96,127.65,29.492014738456465,4.028333333333333,1.12,10.12,2.16975421035041,49.4725,747.0,6.133333333333334,18.583333333333332
4,9,17,54.0,54,54,0.0,30.44,30.44,30.44,0.0,101.0,101,101,0.0,128.88166666666666,74.42,167.75,29.718707249913468,3.4658333333333338,1.12,5.62,1.5515180738016987,39.53333333333333,747.0,6.133333333333334,18.583333333333332
